codigo,descripcion
0,OTROS TIPOS DE DOCUMENTOS
1,DNI / DOCUMENTO NACIONAL DE IDENTIDAD
4,CARNET DE EXTRANJERIA
6,RUC / REGISTRO ÚNICO DE CONTRIBUYENTES
7,PASAPORTE
A,CÉDULA DIPLOMÁTICA DE IDENTIDAD
